GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Upgradeconfiguration,br.puc.rio.controller,UpgradeConfigurationController,53,0,0,0,16,0,4,0,4,0
Upgradeconfiguration,br.puc.rio.sample,HelloCustomAction,0,7,0,0,0,3,0,2,0,2
Upgradeconfiguration,br.puc.rio.converter,LocalDateTimeAttributeConverter,0,17,0,4,0,3,0,5,0,3
Upgradeconfiguration,br.puc.rio.model,Step,8,75,4,4,4,20,4,8,0,8
Upgradeconfiguration,br.puc.rio.model,BuildInformation,26,294,12,10,12,58,12,17,1,17
Upgradeconfiguration,br.puc.rio.model,Index,0,53,0,8,0,18,0,8,0,4
Upgradeconfiguration,br.puc.rio.model,Action,0,2,0,0,0,1,0,1,0,1
Upgradeconfiguration,br.puc.rio.model,Build,19,319,10,14,8,76,9,20,0,17
Upgradeconfiguration,br.puc.rio.model,RunSQLAction,0,28,0,0,0,11,0,3,0,3
Upgradeconfiguration,br.puc.rio.model,ActionType,21,48,0,0,1,6,2,3,2,3
Upgradeconfiguration,br.puc.rio.model,UpgradeConfiguration,0,36,0,4,0,10,0,6,0,4
Upgradeconfiguration,br.puc.rio.model,RunSQLFileAction,28,8,0,0,9,4,1,2,1,2
Upgradeconfiguration,br.puc.rio.model,Status,21,37,0,0,1,6,2,3,2,3
Upgradeconfiguration,br.puc.rio.business,Update,0,17,0,2,0,3,0,2,0,1
Upgradeconfiguration,br.puc.rio.business,Downgrade,0,213,3,23,0,43,3,17,0,7
Upgradeconfiguration,br.puc.rio.business,Upgrade,2,221,4,22,0,45,4,17,0,8
Upgradeconfiguration,br.puc.rio.util,JPAUtil,9,0,0,0,3,0,2,0,2,0
Upgradeconfiguration,br.puc.rio.dao,BuildInformationDao,0,248,0,2,0,60,0,11,0,10
